,name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,dataset_size,directory_bytesize,rmi_bytesize,label,sorted_array_bytesize
0,"BucketsRangeLookupRMI<10000, 1>/0",0,0,"BucketsRangeLookupRMI<10000, 1>/0",iteration,1,0,1,4006182,177.9641548003264,177.9607504102351,ns,200000000.0,4800000048.0,160008.0,seq,
1,"BucketsRangeLookupRMI<10000, 1>/2",0,1,"BucketsRangeLookupRMI<10000, 1>/2",iteration,1,0,1,2850401,238.93026918740077,238.92563677883783,ns,200000000.0,6492325296.0,160008.0,uniform,
2,"BucketsRangeLookupRMI<10000, 1>/3",0,2,"BucketsRangeLookupRMI<10000, 1>/3",iteration,1,0,1,59145,12217.35202678613,12217.126604130211,ns,200000000.0,9599593872.0,160008.0,fb,
3,"BucketsRangeLookupRMI<10000, 1>/4",0,3,"BucketsRangeLookupRMI<10000, 1>/4",iteration,1,0,1,2137070,332.6308773730518,332.6235500010923,ns,200000000.0,8126315736.0,160008.0,osm,
4,"BucketsRangeLookupRMI<10000, 1>/5",0,4,"BucketsRangeLookupRMI<10000, 1>/5",iteration,1,0,1,4009169,178.01830941756384,178.01507170209453,ns,90437011.0,2517580920.0,160008.0,wiki,
5,"BucketsRangeLookupRMI<10000, 2>/0",1,0,"BucketsRangeLookupRMI<10000, 2>/0",iteration,1,0,1,3970209,178.35831965073945,178.3532761120153,ns,200000000.0,4000000064.0,160008.0,seq,
6,"BucketsRangeLookupRMI<10000, 2>/2",1,1,"BucketsRangeLookupRMI<10000, 2>/2",iteration,1,0,1,3054804,226.30164072001375,226.29656927249033,ns,200000000.0,5476363784.0,160008.0,uniform,
7,"BucketsRangeLookupRMI<10000, 2>/3",1,2,"BucketsRangeLookupRMI<10000, 2>/3",iteration,1,0,1,35887,19449.734419902336,19449.38055557816,ns,200000000.0,7999745544.0,160008.0,fb,
8,"BucketsRangeLookupRMI<10000, 2>/4",1,3,"BucketsRangeLookupRMI<10000, 2>/4",iteration,1,0,1,2117890,329.67940187541353,329.67295421419664,ns,200000000.0,6845018824.0,160008.0,osm,
9,"BucketsRangeLookupRMI<10000, 2>/5",1,4,"BucketsRangeLookupRMI<10000, 2>/5",iteration,1,0,1,4233397,167.6695833126211,167.66590187465718,ns,90437011.0,2224863104.0,160008.0,wiki,
