,name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,dataset_size,directory_bytesize,rmi_bytesize,label,sorted_array_bytesize
0,"BucketsRangeLookupRMI<100, 1>/0",0,0,"BucketsRangeLookupRMI<100, 1>/0",iteration,1,0,1,3717608,179.2899479621063,179.15881018117074,ns,200000000.0,4800000048.0,1608.0,seq,
1,"BucketsRangeLookupRMI<100, 1>/2",0,1,"BucketsRangeLookupRMI<100, 1>/2",iteration,1,0,1,2436723,267.30391649168394,267.12279852900275,ns,200000000.0,6492057600.0,1608.0,uniform,
2,"BucketsRangeLookupRMI<100, 1>/5",0,2,"BucketsRangeLookupRMI<100, 1>/5",iteration,1,0,1,3090547,204.432581869681,204.28633216062897,ns,90437012.0,2541721344.0,1608.0,wiki,
3,"BucketsRangeLookupRMI<100, 1>/4",0,3,"BucketsRangeLookupRMI<100, 1>/4",iteration,1,0,1,958790,689.6283634787245,689.0437947828208,ns,200000000.0,8663748648.0,1608.0,osm,
4,"BucketsRangeLookupRMI<100, 1>/3",0,4,"BucketsRangeLookupRMI<100, 1>/3",iteration,1,0,1,35728,18677.89794109925,18663.35221673778,ns,200000000.0,9599669928.0,1608.0,fb,
5,"BucketsRangeLookupRMI<100, 2>/0",1,0,"BucketsRangeLookupRMI<100, 2>/0",iteration,1,0,1,2980066,219.93832138901138,219.77712641237162,ns,200000000.0,4267554664.0,1608.0,seq,
6,"BucketsRangeLookupRMI<100, 2>/2",1,1,"BucketsRangeLookupRMI<100, 2>/2",iteration,1,0,1,2494757,269.0195359346052,268.8199960955243,ns,200000000.0,5476271464.0,1608.0,uniform,
7,"BucketsRangeLookupRMI<100, 2>/5",1,2,"BucketsRangeLookupRMI<100, 2>/5",iteration,1,0,1,2823141,230.06578102848997,229.89273862027053,ns,90437012.0,2262307944.0,1608.0,wiki,
8,"BucketsRangeLookupRMI<100, 2>/4",1,3,"BucketsRangeLookupRMI<100, 2>/4",iteration,1,0,1,895101,730.4340142562853,729.9227897170172,ns,200000000.0,7284029584.0,1608.0,osm,
9,"BucketsRangeLookupRMI<100, 2>/3",1,4,"BucketsRangeLookupRMI<100, 2>/3",iteration,1,0,1,22186,29528.985298846954,29504.976787465952,ns,200000000.0,7999793664.0,1608.0,fb,
10,"BucketsRangeLookupRMI<100, 4>/0",2,0,"BucketsRangeLookupRMI<100, 4>/0",iteration,1,0,1,2884563,213.0383870885306,212.87500602321055,ns,200000000.0,3846192360.0,1608.0,seq,
11,"BucketsRangeLookupRMI<100, 4>/2",2,1,"BucketsRangeLookupRMI<100, 4>/2",iteration,1,0,1,2663308,247.37283427842092,247.16857494475002,ns,200000000.0,4994887272.0,1608.0,uniform,
12,"BucketsRangeLookupRMI<100, 4>/5",2,2,"BucketsRangeLookupRMI<100, 4>/5",iteration,1,0,1,3072071,219.3128555935567,219.1426373292268,ns,90437012.0,2190169824.0,1608.0,wiki,
13,"BucketsRangeLookupRMI<100, 4>/4",2,3,"BucketsRangeLookupRMI<100, 4>/4",iteration,1,0,1,764394,857.8375763787916,857.0823842088788,ns,200000000.0,6578021544.0,1608.0,osm,
14,"BucketsRangeLookupRMI<100, 4>/3",2,4,"BucketsRangeLookupRMI<100, 4>/3",iteration,1,0,1,13095,53517.787129472075,53474.24177164884,ns,200000000.0,7199844216.0,1608.0,fb,
15,"BucketsRangeLookupRMI<100, 8>/0",3,0,"BucketsRangeLookupRMI<100, 8>/0",iteration,1,0,1,2621940,252.75773926196882,252.55653905095812,ns,200000000.0,3668638920.0,1608.0,seq,
16,"BucketsRangeLookupRMI<100, 8>/2",3,1,"BucketsRangeLookupRMI<100, 8>/2",iteration,1,0,1,2361869,282.715019810688,282.47489932826693,ns,200000000.0,4790315376.0,1608.0,uniform,
17,"BucketsRangeLookupRMI<100, 8>/5",3,2,"BucketsRangeLookupRMI<100, 8>/5",iteration,1,0,1,2618714,264.63479492861586,264.4464485245938,ns,90437012.0,2191491920.0,1608.0,wiki,
18,"BucketsRangeLookupRMI<100, 8>/4",3,3,"BucketsRangeLookupRMI<100, 8>/4",iteration,1,0,1,655495,1003.2298897962906,1002.4701713971197,ns,200000000.0,6213310304.0,1608.0,osm,
19,"BucketsRangeLookupRMI<100, 8>/3",3,4,"BucketsRangeLookupRMI<100, 8>/3",iteration,1,0,1,6377,105396.53643986752,105311.65861655059,ns,200000000.0,6799867832.0,1608.0,fb,
20,"BucketsRangeLookupRMI<10000, 1>/0",4,0,"BucketsRangeLookupRMI<10000, 1>/0",iteration,1,0,1,3629261,175.91905868138826,175.78163598290053,ns,200000000.0,4800000048.0,160008.0,seq,
21,"BucketsRangeLookupRMI<10000, 1>/2",4,1,"BucketsRangeLookupRMI<10000, 1>/2",iteration,1,0,1,2494585,265.08210825805463,264.8949873414957,ns,200000000.0,6492100776.0,160008.0,uniform,
22,"BucketsRangeLookupRMI<10000, 1>/5",4,2,"BucketsRangeLookupRMI<10000, 1>/5",iteration,1,0,1,3412505,196.48788697818074,196.34398748473717,ns,90437012.0,2534038368.0,160008.0,wiki,
23,"BucketsRangeLookupRMI<10000, 1>/4",4,3,"BucketsRangeLookupRMI<10000, 1>/4",iteration,1,0,1,1274319,498.84089910474364,498.4870562163301,ns,200000000.0,8125449816.0,160008.0,osm,
24,"BucketsRangeLookupRMI<10000, 1>/3",4,4,"BucketsRangeLookupRMI<10000, 1>/3",iteration,1,0,1,45788,14995.373377070902,14981.283545852873,ns,200000000.0,9599593872.0,160008.0,fb,
25,"BucketsRangeLookupRMI<10000, 2>/0",5,0,"BucketsRangeLookupRMI<10000, 2>/0",iteration,1,0,1,2902677,224.4894970366027,224.31438771614845,ns,200000000.0,4378768944.0,160008.0,seq,
26,"BucketsRangeLookupRMI<10000, 2>/2",5,1,"BucketsRangeLookupRMI<10000, 2>/2",iteration,1,0,1,2471002,266.6381662251298,266.4396807472583,ns,200000000.0,5476273264.0,160008.0,uniform,
27,"BucketsRangeLookupRMI<10000, 2>/5",5,2,"BucketsRangeLookupRMI<10000, 2>/5",iteration,1,0,1,2991330,229.3218938788106,229.12537198891644,ns,90437012.0,2253442424.0,160008.0,wiki,
28,"BucketsRangeLookupRMI<10000, 2>/4",5,3,"BucketsRangeLookupRMI<10000, 2>/4",iteration,1,0,1,1228223,530.6679446915987,530.3064419113351,ns,200000000.0,6844164504.0,160008.0,osm,
29,"BucketsRangeLookupRMI<10000, 2>/3",5,4,"BucketsRangeLookupRMI<10000, 2>/3",iteration,1,0,1,29106,24209.698585495542,24192.92932755885,ns,200000000.0,7999747344.0,160008.0,fb,
30,"BucketsRangeLookupRMI<10000, 4>/0",6,0,"BucketsRangeLookupRMI<10000, 4>/0",iteration,1,0,1,3092913,217.7795542780373,217.6149503707949,ns,200000000.0,3823750320.0,160008.0,seq,
31,"BucketsRangeLookupRMI<10000, 4>/2",6,1,"BucketsRangeLookupRMI<10000, 4>/2",iteration,1,0,1,2628040,250.73555723050183,250.50316814326567,ns,200000000.0,4994542680.0,160008.0,uniform,
32,"BucketsRangeLookupRMI<10000, 4>/5",6,2,"BucketsRangeLookupRMI<10000, 4>/5",iteration,1,0,1,3087619,223.73054576774618,223.57333239771532,ns,90437012.0,2177563704.0,160008.0,wiki,
33,"BucketsRangeLookupRMI<10000, 4>/4",6,3,"BucketsRangeLookupRMI<10000, 4>/4",iteration,1,0,1,1140767,569.4800081486728,569.0305364756896,ns,200000000.0,6177621120.0,160008.0,osm,
34,"BucketsRangeLookupRMI<10000, 4>/3",6,4,"BucketsRangeLookupRMI<10000, 4>/3",iteration,1,0,1,16187,41737.70729645,41703.2625562063,ns,200000000.0,7199807208.0,160008.0,fb,
35,"BucketsRangeLookupRMI<10000, 8>/0",7,0,"BucketsRangeLookupRMI<10000, 8>/0",iteration,1,0,1,2435975,262.40755537377186,262.1773133966458,ns,200000000.0,3675675968.0,160008.0,seq,
36,"BucketsRangeLookupRMI<10000, 8>/2",7,1,"BucketsRangeLookupRMI<10000, 8>/2",iteration,1,0,1,2356567,280.6391217719214,280.41808359345265,ns,200000000.0,4789891328.0,160008.0,uniform,
37,"BucketsRangeLookupRMI<10000, 8>/5",7,2,"BucketsRangeLookupRMI<10000, 8>/5",iteration,1,0,1,2631537,254.16204327381217,253.95308749984864,ns,90437012.0,2177949584.0,160008.0,wiki,
38,"BucketsRangeLookupRMI<10000, 8>/4",7,3,"BucketsRangeLookupRMI<10000, 8>/4",iteration,1,0,1,1043357,626.5148083742248,626.0781784197959,ns,200000000.0,5821532248.0,160008.0,osm,
39,"BucketsRangeLookupRMI<10000, 8>/3",7,4,"BucketsRangeLookupRMI<10000, 8>/3",iteration,1,0,1,8206,87916.74231752197,87841.50085070352,ns,200000000.0,6799836960.0,160008.0,fb,
40,"BucketsRangeLookupRMI<1000000, 1>/0",8,0,"BucketsRangeLookupRMI<1000000, 1>/0",iteration,1,0,1,2566990,242.93766190595844,242.73103517443715,ns,200000000.0,4800000048.0,16000008.0,seq,
41,"BucketsRangeLookupRMI<1000000, 1>/2",8,1,"BucketsRangeLookupRMI<1000000, 1>/2",iteration,1,0,1,2013845,332.8478756706586,332.59492612778575,ns,200000000.0,6485222520.0,16000008.0,uniform,
